Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.19     0.00    96872     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.19     0.00    96861     0.00     0.00  std::_Bit_const_iterator::operator+=(long)
  0.00      0.19     0.00    95551     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
  0.00      0.19     0.00    95529     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long) const
  0.00      0.19     0.00    95262     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.19     0.00    94941     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  0.00      0.19     0.00    94921     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.19     0.00    75888     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::new_allocator()
  0.00      0.19     0.00    75888     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::~new_allocator()
  0.00      0.19     0.00    75888     0.00     0.00  std::allocator<Neighbor>::allocator()
  0.00      0.19     0.00    75888     0.00     0.00  std::allocator<Neighbor>::~allocator()
  0.00      0.19     0.00    75888     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Neighbor*>(Neighbor*, Neighbor*)
  0.00      0.19     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_impl::_Vector_impl()
  0.00      0.19     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_impl::~_Vector_impl()
  0.00      0.19     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.19     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_base()
  0.00      0.19     0.00    75888     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::vector()
  0.00      0.19     0.00    75888     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::~vector()
  0.00      0.19     0.00    75888     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.19     0.00    75888     0.00     0.00  void std::_Construct<std::vector<Neighbor, std::allocator<Neighbor> >>(std::vector<Neighbor, std::allocator<Neighbor> >*)
  0.00      0.19     0.00    75888     0.00     0.00  void std::_Destroy<Neighbor*>(Neighbor*, Neighbor*)
  0.00      0.19     0.00    75888     0.00     0.00  void std::_Destroy<Neighbor*, Neighbor>(Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00      0.19     0.00    75888     0.00     0.00  void std::_Destroy<std::vector<Neighbor, std::allocator<Neighbor> > >(std::vector<Neighbor, std::allocator<Neighbor> >*)
  0.00      0.19     0.00    62781     0.00     0.00  EdgeChange&& std::forward<EdgeChange>(std::remove_reference<EdgeChange>::type&)
  0.00      0.19     0.00    54729     0.00     0.00  SSSPTree::isAffectedByDeletion(int) const
