# SSSP Tree from source 1
# Vertex	Distance	Parent
1810	1	1
1811	2	5624
1812	2	279
1813	2	704
1814	2	343
1815	2	735
1816	2	346
1817	2	549
1818	2	352
1819	2	17
1820	2	17
1821	2	71399
1822	2	1059
1823	2	3850
1824	2	17
1825	2	17
1826	2	17
1827	2	17
1828	2	17
1829	2	17
1830	2	17
1831	2	735
1832	2	1455
1833	2	34
1834	2	17
1835	2	735
1836	2	28
1837	2	17
1838	2	17
1839	2	17
1840	2	4017
1841	2	17
1842	2	17
1843	2	1059
1844	2	17
1845	2	649
1846	2	17
1847	2	77
1848	2	1518
1849	1	1
1850	2	17
1851	2	6174
1852	2	789
1853	2	20
1854	2	17
1855	2	17
1856	2	17
1857	2	352
1858	2	17
1859	2	17
1860	2	738
1861	2	17
1862	2	77
1863	2	17
1864	2	77
1865	2	565
1866	2	17
1867	2	77
1868	2	17
1869	2	2205
1870	2	17
1871	2	17
1872	2	17
1873	2	17
1874	2	17
1875	2	17
1876	2	71399
1877	2	77
1878	2	17
1879	2	17
1880	2	17
1881	2	689
1882	2	645
1883	2	75
1884	2	645
1885	2	10
1886	2	17
1887	2	17
1888	2	17
1889	2	17
1890	2	34
1891	2	346
1892	2	704
1893	2	645
1894	2	102
1895	2	1455
1896	2	34
1897	2	3349
1898	2	5056
1899	2	75
1900	2	1702
1901	2	68
1902	2	3850
1903	2	75
1904	2	3973
1905	2	738
1906	2	1455
1907	2	352
1908	2	5674
1909	2	1455
1910	2	735
1911	2	4199
1912	1	1
1913	3	4512
1914	2	1059
1915	2	71399
1916	2	31
1917	2	5624
1918	2	349
1919	2	725
1920	2	738
1921	2	3454
1922	2	74
1923	2	31
1924	3	18
1925	2	432
1926	2	136
1927	2	663
1928	2	725
1929	3	71388
1930	2	634
1931	2	738
1932	3	18
1933	2	34
1934	2	34
1935	2	738
1936	3	18
1937	2	645
1938	2	33
1939	2	881
1940	2	684
1941	2	645
1942	2	555
1943	2	663
1944	3	1975
1945	2	645
1946	2	725
1947	2	723
1948	2	34
1949	2	480
1950	2	4017
1951	3	18
1952	2	1179
1953	2	67
1954	2	65
1955	2	645
1956	2	645
1957	3	18
1958	2	725
1959	2	33
1960	2	475
1961	2	645
1962	2	102
1963	2	29
1964	2	550
1965	2	20
1966	3	2272
1967	2	27
1968	2	663
1969	3	18
1970	2	789
1971	2	766
1972	2	727
1973	3	18
1974	2	634
1975	2	75
1976	2	341
1977	3	18
1978	2	1440
1979	2	3850
1980	2	645
1981	2	418
1982	3	18
1983	3	18
1984	2	1247
1985	2	763
1986	2	345
1987	3	18
1988	2	27
1989	2	136
1990	2	34
1991	2	590
1992	3	1991
1993	2	365
1994	2	645
1995	2	550
1996	3	241
1997	2	136
1998	3	680
1999	3	18
2000	2	20
2001	3	1991
2002	2	738
2003	2	352
2004	2	1179
2005	2	1440
2006	2	459
2007	2	728
2008	2	34
2009	3	16317
2010	3	18
2011	3	18
2012	2	763
2013	2	650
2014	2	118
2015	3	18
2016	2	735
2017	2	956
2018	3	18
2019	2	725
2020	2	735
2021	3	18
2022	2	2105
2023	2	34
2024	2	972
2025	2	75
2026	2	34
2027	2	645
2028	2	766
2029	2	725
2030	2	75
2031	2	1455
2032	2	728
2033	2	75
2034	2	34
2035	2	77
2036	1	1
2037	2	766
2038	2	738
2039	2	5919
2040	1	1
2041	2	634
2042	2	349
2043	2	34
2044	3	8424
2045	2	34
2046	1	1
2047	1	1
2048	2	645
2049	2	735
2050	2	3850
2051	2	34
2052	2	34
2053	2	725
2054	2	728
2055	2	102
2056	2	33
2057	2	3850
2058	2	645
2059	2	735
2060	2	34
2061	2	3850
2062	2	1455
2063	2	766
2064	2	34
2065	1	1
2066	2	352
2067	2	34
2068	2	71399
2069	2	34
2070	2	20
2071	2	34
2072	2	145
2073	2	431
2074	2	725
2075	2	34
2076	3	35
2077	2	400
2078	2	546
2079	3	19
2080	2	350
2081	2	433
2082	2	645
2083	2	5056
2084	2	34
2085	2	367
2086	2	336
2087	3	19
2088	2	723
2089	2	71399
2090	2	546
2091	2	789
2092	2	550
2093	2	419
2094	2	645
2095	2	4572
2096	2	727
2097	2	74
2098	1	1
