Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     17.78     0.00    48923     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator++()
  0.00     17.78     0.00    40000     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::operator[](unsigned long)
  0.00     17.78     0.00    36901     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00     17.78     0.00    36858     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
  0.00     17.78     0.00    36852     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  0.00     17.78     0.00    36843     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00     17.78     0.00    36836     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00     17.78     0.00    36836     0.00     0.00  std::_Bit_const_iterator::operator*() const
  0.00     17.78     0.00    36836     0.00     0.00  std::_Bit_const_iterator::operator[](long) const
  0.00     17.78     0.00    36836     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long) const
  0.00     17.78     0.00    36836     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00     17.78     0.00    36836     0.00     0.00  std::_Bit_const_iterator::operator+=(long)
  0.00     17.78     0.00    36836     0.00     0.00  std::operator+(std::_Bit_const_iterator const&, long)
  0.00     17.78     0.00    26383     0.00     0.00  void __gnu_cxx::new_allocator<EdgeChange>::construct<EdgeChange, EdgeChange>(EdgeChange*, EdgeChange&&)
  0.00     17.78     0.00    26383     0.00     0.00  void std::allocator_traits<std::allocator<EdgeChange> >::construct<EdgeChange, EdgeChange>(std::allocator<EdgeChange>&, EdgeChange*, EdgeChange&&)
  0.00     17.78     0.00    26383     0.00     0.00  std::remove_reference<EdgeChange&>::type&& std::move<EdgeChange&>(EdgeChange&)
  0.00     17.78     0.00    25298     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}>::operator()<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >)
  0.00     17.78     0.00    25000     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
