Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     17.84     0.00   437526     0.00     0.00  Neighbor* std::__relocate_a<Neighbor*, Neighbor*, std::allocator<Neighbor> >(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00     17.84     0.00   437496     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_S_max_size(std::allocator<Neighbor> const&)
  0.00     17.84     0.00   437461     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::max_size() const
  0.00     17.84     0.00   437450     0.00     0.00  std::allocator_traits<std::allocator<Neighbor> >::max_size(std::allocator<Neighbor> const&)
  0.00     17.84     0.00   437442     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_get_Tp_allocator() const
  0.00     17.84     0.00   437426     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::max_size() const
  0.00     17.84     0.00   303038     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00     17.84     0.00   294656     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_deallocate(Neighbor*, unsigned long)
  0.00     17.84     0.00   289548     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  0.00     17.84     0.00   238747     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::difference_type __gnu_cxx::operator-<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&)
  0.00     17.84     0.00   238741     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::begin()
  0.00     17.84     0.00   218776     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     17.84     0.00   218768     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::deallocate(Neighbor*, unsigned long)
  0.00     17.84     0.00   218768     0.00     0.00  std::allocator_traits<std::allocator<Neighbor> >::deallocate(std::allocator<Neighbor>&, Neighbor*, unsigned long)
  0.00     17.84     0.00   218760     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::allocate(unsigned long, void const*)
  0.00     17.84     0.00   218756     0.00     0.00  std::allocator_traits<std::allocator<Neighbor> >::allocate(std::allocator<Neighbor>&, unsigned long)
  0.00     17.84     0.00   218751     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_allocate(unsigned long)
  0.00     17.84     0.00   218677     0.00     0.00  void std::vector<Neighbor, std::allocator<Neighbor> >::_M_realloc_insert<Neighbor>(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, Neighbor&&)
  0.00     17.84     0.00   218657     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_M_check_len(unsigned long, char const*) const
  0.00     17.84     0.00   213913     0.00     0.00  SSSPTree::getDistance(int) const
  0.00     17.84     0.00   181036     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00     17.84     0.00   151776     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >* std::__addressof<std::vector<Neighbor, std::allocator<Neighbor> > >(std::vector<Neighbor, std::allocator<Neighbor> >&)
  0.00     17.84     0.00   139088     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator++()
  0.00     17.84     0.00   102401     0.00     0.00  std::operator+(std::_Bit_const_iterator const&, long)
  0.00     17.84     0.00   100453     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long) const
  0.00     17.84     0.00    99173     0.00     0.00  std::_Bit_const_iterator::operator[](long) const
  0.00     17.84     0.00    97094     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00     17.84     0.00    96437     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00     17.84     0.00    93815     0.00     0.00  std::_Bit_const_iterator::operator+=(long)
  0.00     17.84     0.00    92510     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00     17.84     0.00    91602     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  0.00     17.84     0.00    91246     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00     17.84     0.00    89712     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
  0.00     17.84     0.00    75888     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::new_allocator()
  0.00     17.84     0.00    75888     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::~new_allocator()
  0.00     17.84     0.00    75888     0.00     0.00  std::allocator<Neighbor>::allocator()
  0.00     17.84     0.00    75888     0.00     0.00  std::allocator<Neighbor>::~allocator()
  0.00     17.84     0.00    75888     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Neighbor*>(Neighbor*, Neighbor*)
  0.00     17.84     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_impl::_Vector_impl()
  0.00     17.84     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_impl::~_Vector_impl()
  0.00     17.84     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_impl_data::_Vector_impl_data()
  0.00     17.84     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_base()
  0.00     17.84     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::~_Vector_base()
  0.00     17.84     0.00    75888     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::vector()
  0.00     17.84     0.00    75888     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::~vector()
  0.00     17.84     0.00    75888     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00     17.84     0.00    75888     0.00     0.00  void std::_Construct<std::vector<Neighbor, std::allocator<Neighbor> >>(std::vector<Neighbor, std::allocator<Neighbor> >*)
  0.00     17.84     0.00    75888     0.00     0.00  void std::_Destroy<Neighbor*>(Neighbor*, Neighbor*)
  0.00     17.84     0.00    75888     0.00     0.00  void std::_Destroy<Neighbor*, Neighbor>(Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00     17.84     0.00    75888     0.00     0.00  void std::_Destroy<std::vector<Neighbor, std::allocator<Neighbor> > >(std::vector<Neighbor, std::allocator<Neighbor> >*)
  0.00     17.84     0.00    71004     0.00     0.01  bool __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}>::operator()<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >)
  0.00     17.84     0.00    68084     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}>::operator()<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >)
  0.00     17.84     0.00    62781     0.00     0.00  EdgeChange&& std::forward<EdgeChange>(std::remove_reference<EdgeChange>::type&)
  0.00     17.84     0.00    50080     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::base() const
  0.00     17.84     0.00    49149     0.00     0.00  EdgeChange* std::__addressof<EdgeChange>(EdgeChange&)
  0.00     17.84     0.00    49053     0.00     0.00  SSSPTree::isAffected(int) const
  0.00     17.84     0.00    48319     0.00     0.00  SSSPTree::isAffectedByDeletion(int) const
  0.00     17.84     0.00    40000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::base() const
  0.00     17.84     0.00    40000     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::operator[](unsigned long)
  0.00     17.84     0.00    26383     0.00     0.00  void __gnu_cxx::new_allocator<EdgeChange>::construct<EdgeChange, EdgeChange>(EdgeChange*, EdgeChange&&)
  0.00     17.84     0.00    26383     0.00     0.00  void std::allocator_traits<std::allocator<EdgeChange> >::construct<EdgeChange, EdgeChange>(std::allocator<EdgeChange>&, EdgeChange*, EdgeChange&&)
  0.00     17.84     0.00    26383     0.00     0.00  std::remove_reference<EdgeChange&>::type&& std::move<EdgeChange&>(EdgeChange&)
  0.00     17.84     0.00    25000     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00     17.84     0.00    20030     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::__normal_iterator(EdgeChange* const&)
  0.00     17.84     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::__normal_iterator<Neighbor*>(__gnu_cxx::__normal_iterator<Neighbor*, __gnu_cxx::__enable_if<std::__are_same<Neighbor*, Neighbor*>::__value, std::vector<Neighbor, std::allocator<Neighbor> > >::__type> const&)
  0.00     17.84     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::difference_type __gnu_cxx::operator-<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >(__gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > > const&, __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > > const&)
  0.00     17.84     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator+(long) const
  0.00     17.84     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >::base() const
  0.00     17.84     0.00    16383     0.00     0.00  void __gnu_cxx::new_allocator<EdgeChange>::destroy<EdgeChange>(EdgeChange*)
  0.00     17.84     0.00    16383     0.00     0.00  void std::allocator_traits<std::allocator<EdgeChange> >::destroy<EdgeChange>(std::allocator<EdgeChange>&, EdgeChange*)
